Open_Recalls,Recall_status,Name_of_Recall,Campaign_NHTSA,Date_of_recall_announcement,Brief_Description,Safety_Risk,Remedy,Vim_ID,Time_Stamp
No,,,,,,,,1FATP8FF9L5161270,2023-03-06 23:51:09.647928
Yes,Incomplete,FUEL TANK DEFORMATION,18V735,2018-10-22,"ON YOUR VEHICLE, THE PCM SOFTWARE MAY NOT ADEQUATELY DETECT A STUCK-OPEN CANISTER PURGE VALVE (CPV) WITHIN THE FUEL VAPOR SYSTEM. IF THE CPV MALFUNCTIONS AND STICKS OPEN, IT CAN LEAD TO EXCESSIVE VACUUM IN THE FUEL VAPOR SYSTEM, POTENTIALLY DEFORMING THE PLASTIC FUEL TANK. THIS CAN CAUSE THE FOLLOWING SYMPTOMS: ILLUMINATED MALFUNCTION INDICATOR LAMP (MIL) WITH CERTAIN DIAGNOSTIC TROUBLE CODES (DTCS) INACCURATE OR ERRATIC FUEL GAUGE INDICATION INACCURATE DISTANCE TO EMPTY (DTE) ENGINE STALL AND/OR OTHER DRIVABILITY CONCERNS RELATED TO STUCK OPEN CPV","THIS MAY RESULT IN AN ENGINE STALL WHILE DRIVING WITHOUT WARNING OR WITHOUT THE ABILITY TO RESTART, AND CAN INCREASE THE RISK OF A CRASH.","PARTS AND SOFTWARE ARE NOW AVAILABLE TO REPAIR YOUR VEHICLE. FORD MOTOR COMPANY HAS AUTHORIZED YOUR DEALER TO UPDATE YOUR VEHICLE S PCM SOFTWARE, CHECK FOR DTCS OR OTHER EVIDENCE OF A LEAKING CPV, AND PERFORM ANY ADDITIONAL REQUIRED REPAIRS AS REQUIRED, FREE OF CHARGE (PARTS AND LABOR).IF YOU INSTALLED A FORD PERFORMANCE CALIBRATION ON YOUR 2013-2018 FOCUS ST, YOU MUST STILL HAVE THIS SAFETY RECALL PERFORMED. YOU MAY CONTACT FORD PERFORMANCE TO OBTAIN AN UPDATED FORD PERFORMANCE CALIBRATION FOR YOUR VEHICLE AFTER THIS RECALL HAS BEEN COMPLETED.CONTACT THE FORD PERFORMANCE TECHLINE BY CALLING 800-367-3788 OR ONLINE HTTPS://PERFORMANCEPARTS.FORD.COM/CONTACT-US",1FADP3F26DL208773,2023-03-06 23:51:09.661299
No,,,,,,,,1FM5K8GT8FGC40469,2023-03-06 23:51:09.657988
Yes,Incomplete,SIDE DOOR LATCH REPLACEMENT,16V643,2016-09-02,"A DOOR LATCH WITH A FRACTURED PAWL SPRING TAB TYPICALLY RESULTS IN A ""DOOR WILL NOT CLOSE"" CONDITION.  A DOOR THAT OPENS WHILE DRIVING INCREASES THE RISK OF INJURY.  AS OF 9/2/16, FORD'S INVESTIGATION INTO THIS CONCERN HAS IDENTIFIED A TOTAL OF ONE ALLEGED ACCIDENT AND THREE ALLEGED INJURIES THAT FORD BELIEVES MAY BE RELATED.  ONE ALLEGED INJURY WAS TO AN OCCUPANT'S ARM FROM A DOOR THAT REPORTEDLY OPENED AND BOUNCED BACK.  ANOTHER INJURY INVOLVED A DRIVER WHO ALLEGED HER HAND WAS INJURED WHEN TRYING TO GRAB A DOOR THAT OPENED.  THE THIRD INJURY WAS TO AN OCCUPANT WHO ALLEGEDLY RECEIVED SCRATCHES FROM A REAR DOOR THAT OPENED WHILE DRIVING.  FORD HAS NO FURTHER INFORMATION RELATING TO THESE REPORTS. THE ALLEGED ACCIDENT OCCURRED AFTER THE DRIVER'S DOOR REPORTEDLY OPENED IN A PARKING LOT AND RESULTED IN BUMPER DAMAGE, BUT FORD HAS NO ADDITIONAL INFORMATION.","A DOOR LATCH WITH A FRACTURED PAWL SPRING TAB TYPICALLY RESULTS IN A ""DOOR WILL NOT CLOSE"" CONDITION.  A DOOR THAT OPENS WHILE DRIVING INCREASES THE RISK OF INJURY.","OWNERS WILL BE NOTIFIED BY MAIL AND INSTRUCTED TO TAKE THEIR VEHICLE TO A FORD OR LINCOLN DEALER TO HAVE ALL AFFECTED DOOR LATCHES REPLACED WITH A MORE ROBUST SERVICE PART.  THERE WILL BE NO CHARGE FOR THIS SERVICE.  PARTS AVAILABILITY IS PRESENTLY VERY LIMITED.  IT IS RECOGNIZED THAT CERTAIN FACTORS AFFECT THE RATE OF REPORTS AND MAY BE USED IN PRIORITIZING THE PHASED MAILING OF REMEDY NOTIFICATIONS AS PARTS BECOME AVAILABLE.  FORD PROVIDED THE GENERAL REIMBURSEMENT PLAN FOR THE COST OF REMEDIES PAID FOR BY VEHICLE OWNERS PRIOR TO NOTIFICATION OF A SAFETY RECALL TO THE AGENCY IN FEBRUARY 2015.  THE ENDING DATE FOR REIMBURSEMENT ELIGIBILITY IS OCTOBER 31, 2016.  FORD WILL FORWARD A COPY OF THE NOTIFICATION LETTERS TO DEALERS TO THE AGENCY WHEN AVAILABLE.",1FADP3F26DL208773,2023-03-06 23:51:09.676714
No,,,,,,,,1FTPW14V88FB24423,2023-03-06 23:51:11.088026
No,,,,,,,,1FMZU73K94ZA16003,2023-03-06 23:51:11.090302
No,,,,,,,,1FTPW14V89FA61292,2023-03-06 23:51:11.093965
No,,,,,,,,1FTFW1E53JKC57565,2023-03-06 23:51:11.100145
Yes,Incomplete,PASSENGER AIRBAG INFLATOR REPLACEMENT PARTS ARE READILY AVAILABLE,19V001,2019-01-28,THE PASSENGER AIRBAG INFLATOR IN YOUR VEHICLE MAY EXPLODE IN THE EVENT OF A CRASH THAT CAUSES DEPLOYMENT OF THE PASSENGER AIRBAG.,"IF AN INFLATOR EXPLODES, SHARP METAL FRAGMENTS COULD STRIKE THE PASSENGER OR OTHER OCCUPANTS, CAUSING SERIOUS INJURY OR DEATH.",PARTS ARE NOW AVAILABLE TO REPAIR YOUR VEHICLE. DEALERS WILL REPLACE THE PASSENGER AIRBAG INFLATOR FREE OF CHARGE.,1ZVBP8AM3C5270106,2023-03-06 23:51:11.116687
Yes,Incomplete,POWERTRAIN CONTROL MODULE REPROGRAMMING,16V248,2016-04-25,"SOME VEHICLES MAY EXPERIENCE AN INTERMITTENT LOSS OF THE TRANSMISSION OUTPUT SPEED SENSOR (OSS) SIGNAL TO THE POWERTRAIN CONTROL MODULE, POTENTIALLY RESULTING IN A TEMPORARY, UNINTENDED DOWNSHIFT INTO FIRST GEAR.  IN SOME CASES, THE OSS SIGNAL COULD RECOVER WHILE DRIVING AND THE VEHICLE WILL RESUME NORMAL FUNCTION; IN OTHER CASES THE VEHICLE MAY NEED TO BE STOPPED AND RESTARTED TO REGAIN NORMAL TRANSMISSION OPERATION.  FORD IS AWARE OF THREE REPORTS OF ACCIDENTS AND NO INJURIES RELATED TO THIS CONDITION ON THE AFFECTED VEHICLES.","DEPENDING ON VEHICLE SPEED AT THE TIME OF THE DOWNSHIFT, AN UNINTENDED DOWNSHIFT INTO FIRST GEAR MAY OCCUR CAUSING THE REAR TIRES TO SLIDE OR LOCK UP UNTIL THE VEHICLE SLOWS.  THIS MAY RESULT IN A LOSS OF VEHICLE CONTROL WITHOUT WARNING, INCREASING THE RISK OF A CRASH.",OWNERS WILL BE NOTIFIED BY MAIL AND INSTRUCTED TO TAKE THEIR VEHICLE TO A FORD OR LINCOLN DEALER TO HAVE THE POWERTRAIN CONTROL MODULE REPROGRAMMED WITH UPDATED SOFTWARE.  THERE WILL BE NO CHARGE FOR THIS SERVICE.  FORD IS EXCLUDING REIMBURSEMENT FOR COSTS BECAUSE THE ORIGINAL WARRANTY PROGRAM WOULD PROVIDE FOR A FREE REPAIR FOR THIS CONCERN.  FORD WILL FORWARD A COPY OF THE NOTIFICATION LETTERS TO DEALERS TO THE AGENCY WHEN AVAILABLE.,1ZVBP8AM3C5270106,2023-03-06 23:51:11.118861
Yes,Incomplete,DRIVER AIRBAG INFLATOR REPLACEMENT PARTS ARE READILY AVAILABLE,15V319,2015-05-27,THE DRIVER AIRBAG INFLATOR IN YOUR VEHICLE MAY EXPLODE IN THE EVENT OF A CRASH THAT CAUSES DEPLOYMENT OF THE DRIVER AIRBAG.,"IF AN INFLATOR EXPLODES, SHARP METAL FRAGMENTS COULD STRIKE THE DRIVER OR OTHER OCCUPANTS, CAUSING SERIOUS INJURY OR DEATH.",PARTS ARE NOW AVAILABLE TO REPAIR YOUR VEHICLE. DEALERS WILL REPLACE THE DRIVER AIRBAG INFLATOR FREE OF CHARGE..,1ZVBP8AM3C5270106,2023-03-06 23:51:11.123242
No,,,,,,,,1FMDU34X7PUB64679,2023-03-06 23:51:11.358489
Yes,Incomplete,CLIMATE CONTROL BLOWER MOTOR REPLACEMENT,22V-648,2022-08-26,"ON YOUR VEHICLE, THE CLIMATE CONTROL FRONT BLOWER MOTOR MAY OVERHEAT, POTENTIALLY RESULTING IN AN INTERIOR FIRE WHILE THE VEHICLE IS ON",AN INTERIOR VEHICLE FIRE CAN INCREASE THE RISK OF PERSONAL INJURY AND VEHICLE DAMAGE.,"FORD IS WORKING CLOSELY WITH ITS SUPPLIERS TO PRODUCE REDESIGNED PARTS FOR THE REPAIR. YOU WILL BE NOTIFIED ONCE REMEDY PARTS BECOME AVAILABLE, WHICH IS EXPECTED IN EARLY FIRST QUARTER 2023.  THIS REPAIR WILL BE FREE OF CHARGE PARTS AND LABOR.",1FMJU1HT3FEF49860,2023-03-06 23:51:11.371084
No,,,,,,,,1fabp44a3hf230189,2023-03-06 23:51:11.375263
No,,,,,,,,1FAHP3GNXBW101327,2023-03-06 23:51:11.384541
No,,,,,,,,1FA6P8CF8J5179869,2023-03-06 23:51:11.362312
No,,,,,,,,1FMDU34X2TZB79300,2023-03-06 23:51:11.396903
No,,,,,,,,1FMZU65WX4UB78441,2023-03-06 23:51:11.368002
No,,,,,,,,1FAFP40433F329671,2023-03-06 23:51:12.895706
No,,,,,,,,1FMZU63K55UB72516,2023-03-06 23:51:12.914132
No,,,,,,,,1FMCU9GD7HUC54920,2023-03-06 23:51:12.919346
Yes,,,,,,,,1ftpx12524nb72614,2023-03-06 23:51:12.910401
No,,,,,,,,1FTRX18L5YNB91047,2023-03-06 23:51:12.922178
No,,,,,,,,1FTFX1EF9FKD72880,2023-03-06 23:51:13.231503
No,,,,,,,,1FTRX17W0XNB00342,2023-03-06 23:51:13.238163
No,,,,,,,,1FMFU17537LA53639,2023-03-06 23:51:13.234815
No,,,,,,,,1FTEW1EF4FFB49234,2023-03-06 23:51:13.238941
No,,,,,,,,1FM5K8B82FGC28708,2023-03-06 23:51:13.243866
No,,,,,,,,1FMYU22XXWUD03183,2023-03-06 23:51:13.248925
No,,,,,,,,1FMEU73E58UA81281,2023-03-06 23:51:13.246089
No,,,,,,,,1FTRF12265KC15338,2023-03-06 23:51:14.432108
No,,,,,,,,1FM5K7D81DGA36328,2023-03-06 23:51:14.442711
No,,,,,,,,1FTEW1EF6HKC42315,2023-03-06 23:51:14.455310
No,,,,,,,,1FTPX12536FA57582,2023-03-06 23:51:14.458541
Yes,Incomplete,SPEED CONTROL SYSTEM MODIFICATION,05V017000,2005-01-27,"ON CERTAIN SPORT UTILITY VEHICLES AND PICKUP TRUCKS, THE SPEED CONTROL DEACTIVATION SWITCH MAY OVERHEAT, SMOKE, OR BURN.",THIS CONDITION COULD LEAD TO A FIRE.  FIRES HAVE OCCURRED WHILE THE VEHICLES WERE PARKED WITH THE IGNITION 'OFF.',"AS AN INTERIM REPAIR, OWNERS WILL BE INSTRUCTED TO RETURN THEIR VEHICLES TO THEIR DEALERS TO HAVE THE SPEED CONTROL DEACTIVATION SWITCH DISCONNECTED.  AS SOON AS REPLACEMENT PARTS ARE AVAILABLE (EARLY APRIL 2005), OWNERS WILL BE INSTRUCTED TO RETURN TO THE DEALERS FOR INSTALLATION OF A NEW SWITCH FREE OF CHARGE.  OWNERS MAY CONTACT FORD AT 1-866-436-7332.  (NOTE:  ALSO SEE RECALLS 05V388 AND 06V286)",1FTYR14X9XTA40818,2023-03-06 23:51:14.488185
Yes,,,,,,,,1FTPX14535FB30378,2023-03-06 23:51:14.749318
Yes,,,,,,,,1FTFW1EF5BFA32177,2023-03-06 23:51:14.745757
No,,,,,,,,1FALP45T9RF147758,2023-03-06 23:51:14.752420
No,,,,,,,,1FAHP35N38W294612,2023-03-06 23:51:14.754870
No,,,,,,,,1FTEW1EB8KFB71874,2023-03-06 23:51:14.757434
No,,,,,,,,1FTZR15E51PB76901,2023-03-06 23:51:14.760232
Yes,Incomplete,SPEED CONTROL SYSTEM MODIFICATION,09V399000,2009-10-13,"FORD IS RECALLING MODEL YEARS 1995-2003 WINDSTAR, 2000-2003 EXCURSION DIESEL, 1993-1997 AND 1999-2003 F-250 SD THROUGH F-550 SD DIESEL, 1992-2003 E-150 THROUGH E-550, 1995-2002 EXPLORER, 1997 AND 2002 MERCURY MOUNTAINEER, 1995-1997 AND 2001-2003 RANGER, AND 1994 F53 VEHICLES EQUIPPED WITH THE TEXAS INSTRUMENTS SPEED CONTROL DEACTIVATION SWITCH (SCDS).  THE SCDS MAY LEAK INTERNALLY AND THEN OVERHEAT, SMOKE, OR BURN.",A VEHICLE FIRE COULD OCCUR WITH OR WITHOUT THE ENGINE RUNNING.,"FORD WILL NOTIFY OWNERS THAT DEALERS WILL INSTALL A FUSED WIRING HARNESS IN LINE WITH THE SCDS.  ON 1999-2003 WINDSTAR VEHICLES WITH A LEAKING SCDS, DEALERS WILL ALSO INSPECT THE ABS CONTROL MODULE CONNECTOR AND REPAIR AS NECESSARY.  REPAIRS WILL BE COMPLETED FREE OF CHARGE.  THE SAFETY RECALL BEGAN ON OCTOBER 27, 2009.  OWNERS MAY CONTACT FORD AT 1-888-222-2751.",1FTYR10D13PA53545,2023-03-06 23:51:14.837635
Yes,Incomplete,DRIVER AND PASSENGER AIRBAG INFLATOR REPLACEMENT PARTS ARE READILY AVAILABLE,17V788,2017-12-13,THE DRIVER AND PASSENGER AIRBAG INFLATORS IN YOUR VEHICLE MAY EXPLODE IN THE EVENT OF A CRASH THAT CAUSES DEPLOYMENT OF THE FRONTAL AIRBAGS.,"IF AN INFLATOR EXPLODES, SHARP METAL FRAGMENTS COULD STRIKE THE DRIVER OR OTHER OCCUPANTS, CAUSING SERIOUS INJURY OR DEATH.",PARTS ARE NOW AVAILABLE TO REPAIR YOUR VEHICLE. DEALERS WILL REPLACE THE DRIVER AND PASSENGER AIRBAG INFLATORS FREE OF CHARGE.,1FTYR10D36PA44768,2023-03-06 23:51:16.176618
No,,,,,,,,3FAFP31393R121622,2023-03-06 23:51:16.181300
No,,,,,,,,1FTEW1E45LFA79849,2023-03-06 23:51:16.172357
No,,,,,,,,1FTRW07W31KB86185,2023-03-06 23:51:16.191531
No,,,,,,,,1FTDF15E4BPA62781,2023-03-06 23:51:16.211266
Yes,Incomplete,PASSENGER AIRBAG INFLATOR INSPECTION,23V125,2023-02-27,"IN SOME OF THE AFFECTED VEHICLES, THE REPLACEMENT FRONTAL PASSENGER AIRBAG INFLATOR MAY HAVE BEEN INSTALLED IN THE INCORRECT ORIENTATION UNDER FIELD SERVICE ACTION FSA 17S42 OR 18S02.","IF A PREVIOUSLY REMEDIED VEHICLE HAS A PASSENGER AIRBAG INFLATOR THAT WAS MIS-INSTALLED AND IS IN A CRASH EVENT NECESSITATING DEPLOYMENT OF THE PASSENGER AIRBAG, THE AIRBAG MAY NOT DEPLOY AS INTENDED, INCREASING THE RISK OF INJURY.",OWNERS OF RECORD WILL BE NOTIFIED VIA FIRST-CLASS MAIL AFTER REPAIR INSTRUCTIONS AND PARTS ORDERING INFORMATION HAVE BEEN PROVIDED TO DEALERS.,1FTYR44U16PA04863,2023-03-06 23:51:16.475324
Yes,Incomplete,PASSENGER AIRBAG INFLATOR REPLACEMENT PARTS ARE READILY AVAILABLE,19V001,2019-01-28,THE PASSENGER AIRBAG INFLATOR IN YOUR VEHICLE MAY EXPLODE IN THE EVENT OF A CRASH THAT CAUSES DEPLOYMENT OF THE PASSENGER AIRBAG.,"IF AN INFLATOR EXPLODES, SHARP METAL FRAGMENTS COULD STRIKE THE PASSENGER OR OTHER OCCUPANTS, CAUSING SERIOUS INJURY OR DEATH.",PARTS ARE NOW AVAILABLE TO REPAIR YOUR VEHICLE. DEALERS WILL REPLACE THE PASSENGER AIRBAG INFLATOR FREE OF CHARGE.,1ZVFT80N555214985,2023-03-06 23:51:16.478293
Yes,Incomplete,DRIVER AIRBAG INFLATOR REPLACEMENT PARTS ARE READILY AVAILABLE,15V319,2015-05-27,THE DRIVER AIRBAG INFLATOR IN YOUR VEHICLE MAY EXPLODE IN THE EVENT OF A CRASH THAT CAUSES DEPLOYMENT OF THE DRIVER AIRBAG.,"IF AN INFLATOR EXPLODES, SHARP METAL FRAGMENTS COULD STRIKE THE DRIVER OR OTHER OCCUPANTS, CAUSING SERIOUS INJURY OR DEATH.",PARTS ARE NOW AVAILABLE TO REPAIR YOUR VEHICLE. DEALERS WILL REPLACE THE DRIVER AIRBAG INFLATOR FREE OF CHARGE..,1ZVFT80N555214985,2023-03-06 23:51:16.479322
No,,,,,,,,1FTFW1ET6EFC71960,2023-03-06 23:51:16.493452
No,,,,,,,,1FTBR10C9GUB13656,2023-03-06 23:51:16.494157
No,,,,,,,,1FM5K8D88JGA91408,2023-03-06 23:51:16.500097
Yes,Incomplete,PASSENGER AIRBAG INFLATOR INSPECTION,23V125,2023-02-27,"IN SOME OF THE AFFECTED VEHICLES, THE REPLACEMENT FRONTAL PASSENGER AIRBAG INFLATOR MAY HAVE BEEN INSTALLED IN THE INCORRECT ORIENTATION UNDER FIELD SERVICE ACTION FSA 17S42 OR 18S02.","IF A PREVIOUSLY REMEDIED VEHICLE HAS A PASSENGER AIRBAG INFLATOR THAT WAS MIS-INSTALLED AND IS IN A CRASH EVENT NECESSITATING DEPLOYMENT OF THE PASSENGER AIRBAG, THE AIRBAG MAY NOT DEPLOY AS INTENDED, INCREASING THE RISK OF INJURY.",OWNERS OF RECORD WILL BE NOTIFIED VIA FIRST-CLASS MAIL AFTER REPAIR INSTRUCTIONS AND PARTS ORDERING INFORMATION HAVE BEEN PROVIDED TO DEALERS.,1FMEU6DE1AUA24168,2023-03-06 23:51:16.506620
No,,,,,,,,1FTYR10C2XUB22631,2023-03-06 23:51:16.513301
Yes,Incomplete,SPEED CONTROL SYSTEM MODIFICATION,05V017000,2005-01-27,"ON CERTAIN SPORT UTILITY VEHICLES AND PICKUP TRUCKS, THE SPEED CONTROL DEACTIVATION SWITCH MAY OVERHEAT, SMOKE, OR BURN.",THIS CONDITION COULD LEAD TO A FIRE.  FIRES HAVE OCCURRED WHILE THE VEHICLES WERE PARKED WITH THE IGNITION 'OFF.',"AS AN INTERIM REPAIR, OWNERS WILL BE INSTRUCTED TO RETURN THEIR VEHICLES TO THEIR DEALERS TO HAVE THE SPEED CONTROL DEACTIVATION SWITCH DISCONNECTED.  AS SOON AS REPLACEMENT PARTS ARE AVAILABLE (EARLY APRIL 2005), OWNERS WILL BE INSTRUCTED TO RETURN TO THE DEALERS FOR INSTALLATION OF A NEW SWITCH FREE OF CHARGE.  OWNERS MAY CONTACT FORD AT 1-866-436-7332.  (NOTE:  ALSO SEE RECALLS 05V388 AND 06V286)",1FTRW07692KD69107,2023-03-06 23:51:17.809347
No,,,,,,,,1FMCU03128KA92620,2023-03-06 23:51:17.814979
No,,,,,,,,1FAHP3H21CL209942,2023-03-06 23:51:17.828023
No,,,,,,,,1FTPW12V79FA91578,2023-03-06 23:51:17.833759
No,,,,,,,,1FMZU32E1XZA83428,2023-03-06 23:51:18.004456
No,,,,,,,,1FTEW1CBXJKE60778,2023-03-06 23:51:18.126370
No,,,,,,,,1fmeu73e79ua19625,2023-03-06 23:51:18.137924
No,,,,,,,,1FTFW1EF6EFC91488,2023-03-06 23:51:18.153539
No,,,,,,,,1FTCR10U6VUA10964,2023-03-06 23:51:18.161653
No,,,,,,,,1FADP3K24FL363718,2023-03-06 23:51:18.143292
No,,,,,,,,1FTEX1EM6EFC29662,2023-03-06 23:51:18.165852
Yes,Incomplete,DOOR LATCH REPEAT REPAIR,20V331,2020-06-08,"YOUR VEHICLE WAS PREVIOUSLY REPAIRED UNDER SAFETY RECALL 15S16 OR 16S30. DURING THAT REPAIR, YOUR VEHICLES DOOR LATCHES WERE TO BE REPLACED TO HELP REDUCE THE RISK OF DOORS NOT CLOSING OR DOORS OPENING WHILE DRIVING. IT IS POSSIBLE THAT ONE OR MORE OF YOUR DOOR LATCHES WAS NOT REPLACED OR MAY NOT HAVE BEEN REPLACED CORRECTLY.","IF A DOOR LATCH WAS NOT REPLACED, THERE IS STILL A RISK THAT THE PAWL SPRING TAB INSIDE THE DOOR LATCH COULD BREAK. THIS CONDITION WILL TYPICALLY PREVENT THE DOOR FROM LATCHING. IN CERTAIN SITUATIONS, WHERE THE DOOR IS ABLE TO BE CLOSED, THE DOOR MAY UNLATCH WHILE DRIVING, INCREASING THE RISK OF INJURY","THE DOOR LATCH DATE CODES IN YOUR VEHICLE NEED TO BE INSPECTED TO VERIFY THAT THE PREVIOUS DOOR LATCH RECALL REPAIR WAS COMPLETED AS INTENDED. FOR YOUR CONVENIENCE AND TO ENCOURAGE THE CONTINUED SOCIAL DISTANCING REQUIREMENTS BY MANY STATE AND LOCAL GOVERNMENTS RELATED TO COVID-19, FORD IS PROVIDING YOU WITH THE OPTION TO COMPLETE THIS SIMPLE INSPECTION YOURSELF USING THE ATTACHED SELF-INSPECTION SHEET. BY UTILIZING THIS OPTION, YOU SHOULD NOT NEED TO TAKE YOUR VEHICLE TO YOUR DEALER UNLESS YOUR VEHICLE IS EXHIBITING DOOR LATCHING CONCERNS DOOR WILL NOT LATCH OR OPENS WHILE DRIVING. IN THE UNLIKELY EVENT THAT THE SYSTEM CANNOT CONFIRM THE LATCHES ON YOUR VEHICLE BASED ON YOUR INPUT, OR IF YOUR VEHICLE IS EXHIBITING DOOR LATCHING CONCERNS, YOU WILL NEED TO TAKE YOUR VEHICLE TO YOUR DEALERSHIP FOR ADDITIONAL INSPECTION AND/OR REPAIRS. IF YOU DO NOT WISH TO COMPLETE THIS INSPECTION YOURSELF, YOUR DEALER WILL INSPECT YOUR VEHICLE FOR YOU",1FADP3K23EL335620,2023-03-06 23:51:18.168696
No,,,,,,,,1FACP42E2LF178329,2023-03-06 23:51:19.447758
