Open_Recalls,Recall_status,Name_of_Recall,Campaign_NHTSA,Date_of_recall_announcement,Brief_Description,Safety_Risk,Remedy,Vim_ID,Time_Stamp
Yes,incomplete,Wiper Transmission Arm Linkage Failure,,2019-12-17,"Some 2010-2017 model year Equinox or Terrain vehicles may have a condition where a link ball socket in the Front wiper transmission may separate. If this were to occur, the driver would experience a sudden loss of Front wiper function.
	
This special coverage covers the condition described above for a period of 10 years or 150,000 miles (240,000 km), whichever occurs first, from the date the vehicle was originally placed in service, regardless of ownership.",,Dealers are to replace the front wiper module with the latest version with improved sockets and a new water shield.  The repairs will be made at no charge to the customer.,1GNALDEK2EZ115674,2023-03-06 23:48:09.726147
Yes,incomplete,Windshield Wiper Failure,22V165,2022-10-04,"General Motors has decided that a defect, which relates to motor vehicle safety, exists in certain 2014-2015 model year Chevrolet Equinox and GMC Terrain vehicles.  The ball joints in the windshield wiper modules of these vehicles may experience high corrosion and wear that could result in the separation of one or more ball joints from their sockets during wiper operation.  If a ball joint were to separate, one or both of the windshield wipers could become inoperative.","If one or both of the windshield wipers become inoperative, it could limit the driver’s visibility under certain operating conditions, which may increase the risk of a crash.",Dealers will inspect the wiper module and repair or replace as necessary.,1GNALDEK2EZ115674,2023-03-06 23:48:09.728900
Yes,incomplete,Special Coverage 11135,,2001-01-01,,,,2CNDL63F566112946,2023-03-06 23:48:09.815425
Yes,incomplete,Special Coverage 14319,,2001-01-01,"Certain 2005-2006 model year (MY) Chevrolet Equinox, 2006 MY Pontiac Torrent and 2002-2007 MY Saturn VUE vehicles may have a condition in which the ignition key may be removed when the ignition is not in the “Off” position. If the ignition key is removed when the ignition is not in the “Off” position, unintended motion may occur: (a) for an automatic transmission, if the transmission is not in “Park”; or (b) for a manual transmission, if the parking brake is not engaged and the transmission is not in reverse gear. This could result in a vehicle crash and occupant or pedestrian injuries.

This special coverage covers the condition described above for the life of the vehicle. This means regardless of when the vehicle was originally placed in service or its current mileage or ownership, the repairs described in this bulletin will be paid for by GM.",,,2CNDL63F566112946,2023-03-06 23:48:09.818348
Yes,incomplete,Special Coverage 10240,,2001-01-01,,,,1GNEK13TX6J104596,2023-03-06 23:48:09.879501
No,,,,,,,,1gnskskd1mr275027,2023-03-06 23:48:09.912304
No,,,,,,,,1g1za5eu9cf388322,2023-03-06 23:48:09.923218
No,,,,,,,,2GNAXNEV0K6121002,2023-03-06 23:48:09.934184
No,,,,,,,,1gnfc33j89r163938,2023-03-06 23:48:09.952509
No,,,,,,,,1G1YY22G015106740,2023-03-06 23:48:09.982545
Yes,complete,UNINTENDED IGNITION KEY ROTATION,14V400,2014-07-03,"General Motors has decided that a defect which relates to motor vehicle safety exists in 2000-2005 MY Chevrolet Impala and Monte Carlo, 1997-2003 MY Chevrolet Malibu, 2004-2005 MY Chevrolet Malibu Classic, 1999-2004 MY Oldsmobile Alero, 1998-2002 MY Oldsmobile Intrigue, 1999-2005 MY Pontiac Grand Am, and 2004-2008 MY Pontiac Grand Prix vehicles. If the key ring is carrying added weight and the vehicle goes off road or experiences some other jarring event, it may unintentionally move the key away from the run position. If this occurs, engine power, power steering and power braking may be affected, increasing the risk of a crash.","The timing of the key movement out of the ""run"" position, relative to the activation of the sensing algorithm of the crash event, may result in the airbags not deploying, increasing the potential for occupant injury in certain kinds of crashes. Until the recall has been performed, it is very important that customers remove all items from their key ring, leaving only the vehicle key. The key fob (if applicable), should also be removed from the key ring.","Dealers are to install two key rings and an insert in the key slot or a cover over the key head on all ignition keys, free of charge.",1G1ND52J416206443,2023-03-06 23:48:10.106331
Yes,complete,TURN SIGNALS/HAZARD WARNING FLASHERS INOPERATIVE,03V327,2003-08-27,"Certain passenger vehicles have hazard warning switches that may experience solder joint cracking caused by rapid temperature transitions and the soldering process.  If solder joint cracking occurs and results in an open circuit, the turn signals/hazard lamps become intermittent or inoperative.","When the turn signals are inoperative, the driver cannot use them to signal intent to turn that could result in a crash.",Dealers will replace the hazard warning switch free of charge.,1G1ND52J416206443,2023-03-06 23:48:10.109049
Yes,complete,IGNITION LOCK CYLINDER BINDING,14V827,2014-12-23,"General Motors has decided that a defect which relates to motor vehicle safety exists in certain 2011 – 2012 model year full-size trucks and SUVs.  Certain of these vehicles may have an ignition lock actuator with an outer diameter that exceeds specifications.  These ignition lock actuators may make turning the ignition key difficult and the ignition key could get stuck in the “start” position if the vehicle’s interior ambient temperature is sufficiently high.  If the vehicle is driven with the key stuck in the “start” position, and the vehicle’s interior temperature cools or the vehicle experiences a significant jarring event, the ignition lock cylinder could move out of the “start” position, rotate past the “run” position, and move into the “accessory” position.","If the key moves into the “accessory” position, engine power, power steering, and power braking will be affected, increasing the risk of a crash.  In the event of a crash, the timing of the key movement into the “accessory” position relative to the activation of the sensing algorithm of the crash event may result in the airbags not deploying, increasing the potential for occupant injury in certain types of crashes.","Dealers will inspect steering columns for identifying information (date code and/or production cavity number) and replace if necessary, the ignition lock housing, free of charge.",1GNSK4E01BR375355,2023-03-06 23:48:10.120663
Yes,complete,Engine Cooling Fan Fire,16V868,2016-11-28,"General Motors has decided that a defect which relates to motor vehicle safety exists in certain 2010 – 2014 Chevrolet Tahoe vehicles with special equipment options for police or government service.  Under heavy police use conditions, the passenger-side under-hood cooling fan assembly in these vehicles may be susceptible to repeated fluid intrusion, which could lead to corrosion of wiring inside the fan motor over time.  Such corrosion can, under certain conditions, cause an electrical short circuit.","A short circuit caused by corrosion can create elevated temperatures within the fan motor, which can increase the risk of an engine-compartment fire while the vehicle is running.","Dealers will replace the affected fan motor and shroud, extend wiring and re-orient the fan motor to reduce the risk of corrosion.",1GNSK4E01BR375355,2023-03-06 23:48:10.123264
Yes,complete,Front Passenger Airbag Takata Inflator - Priority Group 10,21V054,2021-02-05,"TK Holdings Inc. (“Takata”) has decided that a defect which relates to motor vehicle safety exists in the passenger-side frontal airbag inflators installed as original equipment in certain 2007 to 2014 model year Cadillac Escalade, Escalade ESV, and Escalade EXT vehicles; certain Chevrolet Avalanche, Silverado 1500, Silverado 2500/3500, Suburban, and Tahoe vehicles; and certain GMC Sierra 1500, Sierra 2500/3500, Yukon, and Yukon XL vehicles.  The determination was made that the propellant in these inflators may degrade after long-term exposure to high humidity and temperature cycling, which could cause the inflator to rupture during a deployment.","An inﬂator rupture may cause metal fragments to pass through the airbag and into the vehicle interior at high speed, which may result in injury or death to vehicle occupants.",Dealers will replace the passenger-side frontal airbag inflator.,1GNSK4E01BR375355,2023-03-06 23:48:10.125323
No,,,,,,,,2GNAXKEV3K6129108,2023-03-06 23:48:10.227847
Yes,incomplete,Special Coverage 11273,,2001-01-01,"Some 2008-2009 Chevrolet TrailBlazer; GMC Envoy; HUMMER H2; Saab 9-7x; 2008-2011 Cadillac Escalade, Escalade ESV, Escalade EXT; Chevrolet Avalanche, Express, Silverado, Suburban, Tahoe; GMC Savana, Sierra, Yukon, Yukon XL; 2008-2010 HUMMER H3; 2009-2011 Chevrolet Colorado; GMC Canyon; and 2009-2010 HUMMER H3T vehicles, equipped with a V8 engine, may have a condition where the throttle position sensor may cause the engine to run rough and cause the malfunction indicator lamp and/or an Engine Reduced Power message to illuminate. If this occurs, it could result in reduced engine power.

This special coverage covers the condition described above for a period of 10 years or 120,000 miles (193,000 km), whichever occurs first, from the date the vehicle was originally placed in service, regardless of ownership.",,,1GNFK33069R207042,2023-03-06 23:48:10.334852
Yes,complete,Front Passenger Airbag Takata Inflator - Priority Group 9,21V053,2021-02-05,"TK Holdings Inc. (“Takata”) has decided that a defect which relates to motor vehicle safety exists in the passenger-side frontal airbag inflators installed as original equipment in certain 2007 to 2014 model year Cadillac Escalade, Escalade ESV, and Escalade EXT vehicles; certain Chevrolet Avalanche, Silverado 1500, Silverado 2500/3500, Suburban, and Tahoe vehicles; and certain GMC Sierra 1500, Sierra 2500/3500, Yukon, and Yukon XL vehicles.  The determination was made that the propellant in these inflators may degrade after long-term exposure to high humidity and temperature cycling, which could cause the inflator to rupture during a deployment.","An inﬂator rupture may cause metal fragments to pass through the airbag and into the vehicle interior at high speed, which may result in injury or death to vehicle occupants.",Dealers will replace the passenger-side frontal airbag inflator.,1GNFK33069R207042,2023-03-06 23:48:10.337922
No,,,,,,,,1gnalbek7dz110151,2023-03-06 23:48:10.421180
Yes,complete,SECOND ROW CENTER SAFETY BELT,05V163,2005-04-22,"On certain crew cab pickup trucks and sport utility vehicles, the 2nd row center occupant seat belt routing may make it difficult to position the lap portion of the safety belt low around the hips of occupants, especially smaller occupants, seated in this position.   Appropriate use of a child seat or booster seat, as recommended for small children, does improve the fit condition for this user group.  In addition to instructions on proper infant and young child restraint (with child seats or boosters), special verbiage for restraining older child is included in the owner's manual.  Also, the suggested seat belt fit/routing for adults, irrespective of seating position, is described in the owner's manual text.","A lap portion of the seat belt routing that is not low and snug on the hips can allow the lap belt to ride up on an occupant's abdomen instead of fitting low around their hipbones, and therefore, can expose them to more risk of abdominal and internal organ injury.","Dealers will cut open the guide loop, remove a portion of the loop, and then the remaining two sides should be folded over and secured with a retainer free of charge.",1GNEC13Z64J114797,2023-03-06 23:48:10.459160
Yes,complete,OIL LIFE MONITOR UPDATE,,2013-01-09,,,,2CNFLGEW5A6320359,2023-03-06 23:48:10.462449
Yes,incomplete,Special Coverage 14159,,2001-01-01,,,,2CNFLGEW5A6320359,2023-03-06 23:48:10.463453
Yes,incomplete,Special Coverage 12313,,2001-01-01,"Some 2010 and 2011 model year Buick LaCrosse, Chevrolet Equinox, and GMC Terrain vehicles; and 2011 model year Buick Regal vehicles, equipped with a 2.4L engine, the chrome layer on the balance chain pins may wear, allowing the chain to stretch. This would cause an engine noise, and if left untreated, could cause the chain to break, leading to engine damage.  In addition, the fuel pump plunger shaft seal may wear and allow fuel to leak into the crankcase, which would illuminate the Malfunction Indicator Light. This can cause engine run-on and/or the engine to run rough.

This special coverage covers the condition described above for a period of 10 years or 120,000 miles (193,000 km), whichever occurs first, from the date the vehicle was originally placed in service, regardless of ownership.",,,2CNFLGEW5A6320359,2023-03-06 23:48:10.465595
Yes,incomplete,Special Coverage 14232,,2001-01-01,"Some 2012-2014 model year Buick Verano, 2011-2014 model year Chevrolet Cruze and Volt, 2010-2014 model year Chevrolet Equinox and GMC Terrain, and 2013-2014 model year Chevrolet Malibu vehicles may have increased friction in the steering system. This could cause the steering wheel to stick in the straight-ahead position after driving long distances on a straight highway. The steering wheel can be turned but it may require increased effort.

This special coverage covers the condition described above for a period of 10 years or 150,000 miles (240,000 km), whichever occurs first, from the date the vehicle was originally placed in service, regardless of ownership.",,,2CNFLGEW5A6320359,2023-03-06 23:48:10.467502
Yes,complete,2010-2011 Chevrolet Equinox with LAF -  GM to perform recall on the high pressure fuel pump,,2016-05-11,General Motors has decided to conduct a Voluntary Emission Recall involving certain 2010-2011 model year Chevrolet Equinox and GMC Terrain vehicles equipped with a 2.4L engine.  The engine mounted high pressure fuel pump in these vehicles may develop excessive wear on the plunger piston shaft and shaft seal.,If this happens fuel can leak into the engine oil crankcase and result in the engine running rough and illumination of the malfunction indicator lamp.,Dealers are to replace the high pressure fuel pump.,2CNFLGEW5A6320359,2023-03-06 23:48:10.469583
Yes,incomplete,Catalytic Converter Replacement,,2016-06-03,"Some 2010-2011 model year Chevrolet Equinox or GMC Terrain vehicles equipped with a 2.4L engine, may have a condition where a malfunction-indicator light (MIL) may illuminate due to thermal damage or face erosion of the catalytic converter.

This special coverage covers the condition described above for a period of 10 years or 120,000 miles (193,000 km), whichever occurs first, from the date the vehicle was originally placed in service, regardless of ownership.",,Replace the catalytic converter.  The repairs will be made at no charge to the customer.,2CNFLGEW5A6320359,2023-03-06 23:48:10.471511
Yes,complete,CARBON MONOXIDE EMISSIONS,,2015-02-04,,,,2CNFLGEW5A6320359,2023-03-06 23:48:10.473354
Yes,complete,Wiper Transmission Arm Linkage Failure,,2019-12-17,"Some 2010-2017 model year Equinox or Terrain vehicles may have a condition where a link ball socket in the Front wiper transmission may separate. If this were to occur, the driver would experience a sudden loss of Front wiper function.
	
This special coverage covers the condition described above for a period of 10 years or 150,000 miles (240,000 km), whichever occurs first, from the date the vehicle was originally placed in service, regardless of ownership.",,Dealers are to replace the front wiper module with the latest version with improved sockets and a new water shield.  The repairs will be made at no charge to the customer.,2CNFLGEW5A6320359,2023-03-06 23:48:10.475020
Yes,incomplete,Special Coverage 14710,,2001-01-01,"On certain 2010-2011 model year Chevrolet Equinox and GMC Terrain vehicles, high resistance in the side-impact airbag circuit may cause the airbag-readiness light to illuminate and the “SERVICE AIR BAG” message to display.

This special coverage covers the condition described above for a period of 10 years or 120,000 miles (193,000 km), whichever occurs first, from the date the vehicle was originally placed in service, regardless of ownership.",,,2CNFLGEW5A6320359,2023-03-06 23:48:10.476431
Yes,incomplete,Wiper Transmission Arm Linkage Failure – USA Only,,2022-07-14,"On certain 2010-2012 model year Chevrolet Equinox and GMC Terrain vehicles, the ball joints in the front windshield wiper modules of these vehicles may experience high corrosion and wear that could result in the separation of one or more ball joints from their sockets during wiper operation.  If a ball joint were to separate, one or both of the windshield wipers could become inoperative.",,Dealers are to inspect the front wiper assembly and replace the wiper linkages or module as necessary. The repairs will be made at no charge to the customer.,2CNFLGEW5A6320359,2023-03-06 23:48:10.477692
Yes,complete,NAVIGATION RADIO LOSS OF CUSTOMER SETTINGS,,2014-12-19,,,,2CNFLGEW5A6320359,2023-03-06 23:48:10.478888
Yes,incomplete,Rocker Arm Oil Control Valve Inoperative,,2020-06-18,"In certain 2014 model year Chevrolet Impala and Malibu vehicles equipped with a 2.5L engine, the rocker arm oil control valve, (OCV), may malfunction. If this occurs, the valve may fail to correctly control oil gallery pressure into the engine’s rocker arm system or leak small amounts of oil onto the exterior of the engine. The customer may notice the engine running rough. In addition, the Malfunction Indicator Lamp (Check Engine Light) may illuminate and a diagnostic trouble code related to the OCV may set.

This special coverage covers the condition described above for a period of 10 years or 120,000 miles (193,000 km), whichever occurs first, from the date the vehicle was originally placed in service, regardless of ownership.",,Dealers are to replace the rocker arm oil control valve.  The repairs will be made at no charge to the customer.,1G11A5SL1EF222274,2023-03-06 23:48:10.504107
Yes,complete,BRAKE LAMP MALFUNCTION,14V252,2014-05-14,"General Motors has decided that a defect which relates to motor vehicle safety exists in 2004-2012 Malibu, 2004-2007 Malibu Maxx, 2005-2010 Pontiac G6, 2007-2010 Saturn Aura vehicles.  On these vehicles, over time an increased resistance can develop in the Body Control Module (BCM) connection system and result in voltage fluctuations or intermittency in the Brake Apply Sensor (BAS) circuit that can cause service brake lamp malfunction.  As a result, the service brake lamps may illuminate when the service brakes are not being applied, or may not illuminate when the service brakes are being applied.  Additionally, cruise control may not engage.  If cruise control is engaged, additional service brake pedal travel may be required to disengage it.  Service brake pedal application may not be required to move the shift lever out of PARK, or additional service brake pedal travel may be required to move the shift lever out of PARK.  Traction control, electronic stability control, and panic braking assist features, if equipped, may be disabled.  Service ESC and/or Traction Control tell-tales may illuminate with this condition.",These conditions may increase the risk of a crash.,"Dealers are to attach the wiring harness to the BCM with a spacer, apply dielectric lubricant to both the BCM and harness connector and on the BAS and harness connector, and relearn the brake pedal home position free of charge.",1G1ZT68N67F254801,2023-03-06 23:48:10.850030
Yes,incomplete,Brake Lamp Malfunction,,2017-02-23,"Some 2004-2012 model year Chevrolet Malibu, 2004-2007 model year Chevrolet Malibu Maxx, 2005-2010 model year Pontiac G6, and 2007-2009 model year Saturn AURA vehicles may have a condition where increased resistance in the body control module (BCM) connection system can result in voltage fluctuations or intermittency in the brake apply sensor (BAS) circuit that can cause brake lamp malfunction. Specifically, the brake lamps may either illuminate without the brake pedal applied, or turn off when the pedal is applied.

This special coverage covers the condition described above for a period of 15 years or 150,000 miles (240,000 km), whichever occurs first, from the date the vehicle was originally placed in service, regardless of ownership.","The brake lamps may either illuminate without the brake pedal applied, or turn off when the pedal is applied.","Dealers are to attach the wiring harness to the BCM with a spacer, apply dielectric lubricant to the BCM X2 (C2) connector and the BAS harness connector, and relearn the brake pedal home position.  The repairs will be made at no charge to the customer.",1G1ZT68N67F254801,2023-03-06 23:48:10.852746
Yes,complete,TRANSMISSION SHIFT CABLE FRACTURE,14V224,2014-04-29,General Motors has decided that a defect which relates to motor vehicle safety exists in 2004-2008 MY Chevrolet Malibu (GMX380) and 2005-2008 MY Pontiac G6 with 4-speed transmissions (MN5); except for vehicles already repaired under safety recall 12106 12V-460 with labor code V2671 or V2672 and 2007 and some 2008 MY Saturn AURA vehicles equipped with a 4-speed automatic transmission (ME7/MN5).  These vehicles have a condition in which the transmission shift cable may fracture at any time.,"When the fracture occurs, the driver may not be able to select a different gear or place the transmission in park.  If the driver cannot place the vehicle in park, and exits the vehicle without applying the park brake, the vehicle could roll away and a crash could occur without prior warning.","Dealers are to inspect the shift cable assembly, and install a shift cable clamshell, or replace the shift cable with a new cable kit and new bracket if necessary, free of charge.",1G1ZT68N67F254801,2023-03-06 23:48:10.854927
No,,,,,,,,2GNAXHEV2K6114280,2023-03-06 23:48:10.950408
No,,,,,,,,3GNAXKEV6LL334113,2023-03-06 23:48:10.946177
Yes,complete,Windshield Wiper Failure,22V165,2022-10-04,"General Motors has decided that a defect, which relates to motor vehicle safety, exists in certain 2014-2015 model year Chevrolet Equinox and GMC Terrain vehicles.  The ball joints in the windshield wiper modules of these vehicles may experience high corrosion and wear that could result in the separation of one or more ball joints from their sockets during wiper operation.  If a ball joint were to separate, one or both of the windshield wipers could become inoperative.","If one or both of the windshield wipers become inoperative, it could limit the driver’s visibility under certain operating conditions, which may increase the risk of a crash.",Dealers will inspect the wiper module and repair or replace as necessary.,2GNALCEK3E6118282,2023-03-06 23:48:11.044222
Yes,incomplete,Special Coverage 14232,,2001-01-01,"Some 2012-2014 model year Buick Verano, 2011-2014 model year Chevrolet Cruze and Volt, 2010-2014 model year Chevrolet Equinox and GMC Terrain, and 2013-2014 model year Chevrolet Malibu vehicles may have increased friction in the steering system. This could cause the steering wheel to stick in the straight-ahead position after driving long distances on a straight highway. The steering wheel can be turned but it may require increased effort.

This special coverage covers the condition described above for a period of 10 years or 150,000 miles (240,000 km), whichever occurs first, from the date the vehicle was originally placed in service, regardless of ownership.",,,2GNALCEK3E6118282,2023-03-06 23:48:11.046961
Yes,incomplete,Wiper Transmission Arm Linkage Failure,,2019-12-17,"Some 2010-2017 model year Equinox or Terrain vehicles may have a condition where a link ball socket in the Front wiper transmission may separate. If this were to occur, the driver would experience a sudden loss of Front wiper function.
	
This special coverage covers the condition described above for a period of 10 years or 150,000 miles (240,000 km), whichever occurs first, from the date the vehicle was originally placed in service, regardless of ownership.",,Dealers are to replace the front wiper module with the latest version with improved sockets and a new water shield.  The repairs will be made at no charge to the customer.,2GNALCEK3E6118282,2023-03-06 23:48:11.049315
No,,,,,,,,KL8CD6SA1LC417231,2023-03-06 23:48:11.356639
Yes,incomplete,Special Coverage 14232,,2001-01-01,"Some 2012-2014 model year Buick Verano, 2011-2014 model year Chevrolet Cruze and Volt, 2010-2014 model year Chevrolet Equinox and GMC Terrain, and 2013-2014 model year Chevrolet Malibu vehicles may have increased friction in the steering system. This could cause the steering wheel to stick in the straight-ahead position after driving long distances on a straight highway. The steering wheel can be turned but it may require increased effort.

This special coverage covers the condition described above for a period of 10 years or 150,000 miles (240,000 km), whichever occurs first, from the date the vehicle was originally placed in service, regardless of ownership.",,,2GNFLGEK5D6303266,2023-03-06 23:48:11.424203
Yes,incomplete,Excessive Engine Oil Consumption,,2020-01-17,"Some 2013 model year Chevrolet Equinox and GMC Terrain vehicles equipped with a 2.4L engine (RPO LEA) may exhibit excessive engine oil consumption (less than 2,000 miles [3,200 km] per quart [0.946 L] of engine oil), due to piston ring wear. If this condition is present, an audible rattle or knock from the engine may be heard. The engine oil pressure telltale may illuminate on the instrument panel or the following message may appear in the Driver Information Center: ""Oil Pressure Low – Stop Engine"".",,"Dealers are to perform an oil consumption test and install new pistons and piston rings if excessive consumption is found. In addition, dealers are to repair or replace any engine components that require repair or replacement if the need for such repair or replacement was solely caused by excessive oil consumption due to piston ring wear. The repairs will be made at no charge to the Customer.",2GNFLGEK5D6303266,2023-03-06 23:48:11.426978
Yes,complete,Front Wiper Transmission Corrosion Failure,16V582,2017-03-22,"General Motors has decided that a defect, which relates to motor vehicle safety, exists in certain 2013 model year Chevrolet Equinox and GMC Terrain vehicles.  The ball joints in the windshield wiper modules of these vehicles may experience high corrosion and wear that could result in the separation of one or more ball joints from their sockets during wiper operation.  If a ball joint were to separate, one or both of the windshield wipers could become inoperative.  If one or both of the windshield wipers become inoperative, it could limit the driver’s visibility under certain operating conditions, which may increase the risk of a crash.","If one or both of the windshield wipers become inoperative, it could limit the driver’s visibility under certain operating conditions, which may increase the risk of a crash.","Dealers will inspect the front wiper-module.  If the module has not been previously replaced with part number 84241847, then the dealers will replace it with the new module (i.e., 84241847) that has a water deflector and improved ball joints.  In addition, dealers will fill the water-management hole near the passenger-side wiper-pivot and drill a small hole on the adjacent wall of the air inlet panel (AIP).  If the module was previously replaced with part 84241847, then the only repair dealers need to complete is the AIP-hole repair—drilling a small hole on the adjacent wall of the AIP. This service will be performed for you at no charge.",2GNFLGEK5D6303266,2023-03-06 23:48:11.429466
Yes,incomplete,Special Coverage 14232,,2001-01-01,"Some 2012-2014 model year Buick Verano, 2011-2014 model year Chevrolet Cruze and Volt, 2010-2014 model year Chevrolet Equinox and GMC Terrain, and 2013-2014 model year Chevrolet Malibu vehicles may have increased friction in the steering system. This could cause the steering wheel to stick in the straight-ahead position after driving long distances on a straight highway. The steering wheel can be turned but it may require increased effort.

This special coverage covers the condition described above for a period of 10 years or 150,000 miles (240,000 km), whichever occurs first, from the date the vehicle was originally placed in service, regardless of ownership.",,,2GNALDEK4D6334291,2023-03-06 23:48:11.434197
